dexnumber, species, form, type1, type2, base catch rate, base flee rate, stamina, attack, defense, quick moves, charge moves, elite quick moves, elite charge moves, third move dust, third move candy, purify dust, purify candy
1,BULBASAUR,,POKEMON_TYPE_GRASS,POKEMON_TYPE_POISON,0.2,0.1, 128, 118, 111, VINE_WHIP_FAST TACKLE_FAST,SLUDGE_BOMB SEED_BOMB POWER_WHIP, , , 10000,25, , 
1,BULBASAUR,FALL_2019,POKEMON_TYPE_GRASS,POKEMON_TYPE_POISON,0.2,0.1, 128, 118, 111, VINE_WHIP_FAST TACKLE_FAST,SLUDGE_BOMB SEED_BOMB POWER_WHIP, , , 10000,25, , 
1,BULBASAUR,NORMAL,POKEMON_TYPE_GRASS,POKEMON_TYPE_POISON,0.2,0.1, 128, 118, 111, VINE_WHIP_FAST TACKLE_FAST,SLUDGE_BOMB SEED_BOMB POWER_WHIP, , , 10000,25, , 
1,BULBASAUR,PURIFIED,POKEMON_TYPE_GRASS,POKEMON_TYPE_POISON,0.2,0.1, 128, 118, 111, VINE_WHIP_FAST TACKLE_FAST,SLUDGE_BOMB SEED_BOMB POWER_WHIP, , , 8000,20, , 
1,BULBASAUR,SHADOW,POKEMON_TYPE_GRASS,POKEMON_TYPE_POISON,0.05,0.1, 128, 118, 111, VINE_WHIP_FAST TACKLE_FAST,SLUDGE_BOMB SEED_BOMB POWER_WHIP, , , 12000,30, 3000, 3
2,IVYSAUR,,POKEMON_TYPE_GRASS,POKEMON_TYPE_POISON,0.1,0.07, 155, 151, 143, RAZOR_LEAF_FAST VINE_WHIP_FAST,SLUDGE_BOMB SOLAR_BEAM POWER_WHIP, , , 10000,25, , 
2,IVYSAUR,NORMAL,POKEMON_TYPE_GRASS,POKEMON_TYPE_POISON,0.1,0.07, 155, 151, 143, RAZOR_LEAF_FAST VINE_WHIP_FAST,SLUDGE_BOMB SOLAR_BEAM POWER_WHIP, , , 10000,25, , 
2,IVYSAUR,PURIFIED,POKEMON_TYPE_GRASS,POKEMON_TYPE_POISON,0.1,0.07, 155, 151, 143, RAZOR_LEAF_FAST VINE_WHIP_FAST,SLUDGE_BOMB SOLAR_BEAM POWER_WHIP, , , 8000,20, , 
2,IVYSAUR,SHADOW,POKEMON_TYPE_GRASS,POKEMON_TYPE_POISON,0.05,0.07, 155, 151, 143, RAZOR_LEAF_FAST VINE_WHIP_FAST,SLUDGE_BOMB SOLAR_BEAM POWER_WHIP, , , 12000,30, 3000, 3
3,VENUSAUR,,POKEMON_TYPE_GRASS,POKEMON_TYPE_POISON,0.05,0.05, 190, 198, 189, RAZOR_LEAF_FAST VINE_WHIP_FAST,SLUDGE_BOMB PETAL_BLIZZARD SOLAR_BEAM, , FRENZY_PLANT, 10000,25, , 
3,VENUSAUR,MEGA,POKEMON_TYPE_GRASS,POKEMON_TYPE_POISON,0.05,0.05, 190, 241, 246, RAZOR_LEAF_FAST VINE_WHIP_FAST,SLUDGE_BOMB PETAL_BLIZZARD SOLAR_BEAM, , FRENZY_PLANT, 10000,25, , 
3,VENUSAUR,COPY_2019,POKEMON_TYPE_GRASS,POKEMON_TYPE_POISON,0.05,0.05, 190, 198, 189, RAZOR_LEAF_FAST VINE_WHIP_FAST,SLUDGE_BOMB PETAL_BLIZZARD SOLAR_BEAM, , FRENZY_PLANT, 10000,25, , 
3,VENUSAUR,NORMAL,POKEMON_TYPE_GRASS,POKEMON_TYPE_POISON,0.05,0.05, 190, 198, 189, RAZOR_LEAF_FAST VINE_WHIP_FAST,SLUDGE_BOMB PETAL_BLIZZARD SOLAR_BEAM, , FRENZY_PLANT, 10000,25, , 
3,VENUSAUR,PURIFIED,POKEMON_TYPE_GRASS,POKEMON_TYPE_POISON,0.05,0.05, 190, 198, 189, RAZOR_LEAF_FAST VINE_WHIP_FAST,SLUDGE_BOMB PETAL_BLIZZARD SOLAR_BEAM, , FRENZY_PLANT, 8000,20, , 
3,VENUSAUR,SHADOW,POKEMON_TYPE_GRASS,POKEMON_TYPE_POISON,0.05,0.05, 190, 198, 189, RAZOR_LEAF_FAST VINE_WHIP_FAST,SLUDGE_BOMB PETAL_BLIZZARD SOLAR_BEAM, , FRENZY_PLANT, 12000,30, 3000, 3
4,CHARMANDER,,POKEMON_TYPE_FIRE,,0.2,0.1, 118, 116, 93, EMBER_FAST SCRATCH_FAST,FLAME_CHARGE FLAME_BURST FLAMETHROWER, , , 10000,25, , 
4,CHARMANDER,FALL_2019,POKEMON_TYPE_FIRE,,0.2,0.1, 118, 116, 93, EMBER_FAST SCRATCH_FAST,FLAME_CHARGE FLAME_BURST FLAMETHROWER, , , 10000,25, , 
4,CHARMANDER,NORMAL,POKEMON_TYPE_FIRE,,0.2,0.1, 118, 116, 93, EMBER_FAST SCRATCH_FAST,FLAME_CHARGE FLAME_BURST FLAMETHROWER, , , 10000,25, , 
4,CHARMANDER,PURIFIED,POKEMON_TYPE_FIRE,,0.2,0.1, 118, 116, 93, EMBER_FAST SCRATCH_FAST,FLAME_CHARGE FLAME_BURST FLAMETHROWER, , , 8000,20, , 
4,CHARMANDER,SHADOW,POKEMON_TYPE_FIRE,,0.05,0.1, 118, 116, 93, EMBER_FAST SCRATCH_FAST,FLAME_CHARGE FLAME_BURST FLAMETHROWER, , , 12000,30, 3000, 3
5,CHARMELEON,,POKEMON_TYPE_FIRE,,0.1,0.07, 151, 158, 126, EMBER_FAST FIRE_FANG_FAST,FIRE_PUNCH FLAME_BURST FLAMETHROWER, SCRATCH_FAST, , 10000,25, , 
5,CHARMELEON,NORMAL,POKEMON_TYPE_FIRE,,0.1,0.07, 151, 158, 126, EMBER_FAST FIRE_FANG_FAST,FIRE_PUNCH FLAME_BURST FLAMETHROWER, SCRATCH_FAST, , 10000,25, , 
5,CHARMELEON,PURIFIED,POKEMON_TYPE_FIRE,,0.1,0.07, 151, 158, 126, EMBER_FAST FIRE_FANG_FAST,FIRE_PUNCH FLAME_BURST FLAMETHROWER, SCRATCH_FAST, , 8000,20, , 
